pdf_filename,nanomaterial_types,nanomaterial_names,primary_nanomaterial,primary_nano_type,particle_size_nm,particle_size_range,zeta_potential_mV,pzc_value,tumor_types,primary_tumor_type,injection_methods,primary_injection_method,injection_dose_mg_kg,injection_frequency,ultrasound_frequency_MHz,ultrasound_power_W_cm2,treatment_time_min,treatment_sessions,ros_generation,cell_viability_percent,cell_death_percent,tumor_volume_mm3,has_size_data,has_zeta_data,has_ultrasound_data,has_ros_data,has_viability_data,has_volume_data,data_completeness_score,correction_notes,corrected_primary_nanomaterial,corrected_primary_nano_type,corrected_particle_size_nm,corrected_zeta_potential_mV,corrected_pzc_value,corrected_primary_tumor_type,corrected_primary_injection_method,corrected_injection_dose_mg_kg,corrected_injection_frequency,corrected_ultrasound_frequency_MHz,corrected_ultrasound_power_W_cm2,corrected_treatment_time_min,corrected_treatment_sessions,corrected_ros_generation,corrected_cell_viability_percent,corrected_cell_death_percent,corrected_tumor_volume_mm3
Metalloporphyrin Complex-Based Nanosonosensitizers for Deep-Tissue Tumor Theranostics by Noninvasive Sonodynamic Therapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,75.8125,,6.9,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Combination of MHI148 Targeted Photodynamic Therapy and STING Activation Inhibits Tumor Metastasis and Recurrence.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,,,9.0,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
ROS-Responsive Fluorescent Sensor Array for Precise Diagnosis of Cancer via pH-Controlled Multicolor Gold Nanoclusters.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,16.09090909090909,,200.0,,,,no,no,yes,yes,no,no,2,Skipped: Model failed,,,,,,,,,,,,,,,,,
Bi-Pt Heterojunction Cascade Reaction Platform forSono-Immunotherapy of Tumors via PANoptosis andFerroptosis.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,12.15625,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Mesoporous polydopamine carrying sorafenib and SPIO nanoparticles for MRI-guided ferroptosis cancer therapy.pdf,,,,,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,,1.0,7.272727272727272,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
"Responsive Magnetic Particle Imaging Tracer: Overcoming“Always-On” Limitation, Eliminating Interference, andEnsuring Safety in Adaptive Therapy.pdf","nanoparticle, nanocrystal","Fe3O4, Fe2O3, RuS",Fe3O4,nanoparticle,,,,,cervical_cancer,cervical_cancer,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,65.26315789473684,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Wireless Stimulation of Barium Titanate@PEDOT Nanoparticles Toward Bioelectrical Modulation in Cancer.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.5,,13.804878048780488,,231.0,100.0,0.0,,no,no,yes,yes,yes,no,3,Skipped: Model failed,,,,,,,,,,,,,,,,,
Tumor microenvironment responsive nano-PROTAC for BRD4 degradation enhanced cancer photo-immunotherapy.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,12.25,,4.0,,,,no,no,yes,yes,no,no,2,Skipped: Model failed,,,,,,,,,,,,,,,,,
Targeted Intracellular Copper Reservoir Enhances Liver Cancer Immunotherapy.pdf,"nanoparticle, nanocrystal","AuS, PtS",AuS,nanoparticle,,,,,"liver_cancer, cervical_cancer",liver_cancer,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,1.0,,12.027027027027026,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
A hypoxia responsive nanoassembly for tumor specific oxygenation and enhanced sonodynamic therapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,50.0,,150.5,,16.25,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Long-Circulating Au-TiO2 Nanocomposite as a Sonosensitizer for ROS-Mediated Eradication of Cancer.pdf,"nanoparticle, nanocrystal",TiO2,TiO2,nanoparticle,,,,,,,"intravenous, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,3.0,,,,4.333333333333333,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
"Tumor-Specific Endogenous FeII-Activated, MRI-Guided Self-Targeting Gadolinium-Coordinated Theranostic Nanoplatforms for Amplification of ROS and Enhanced Chemodynamic Chemotherapy.pdf","nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,5.085714285714286,,400.0,,17.8,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
A singular plasmonic-thermoelectric hollow nanostructure inducing apoptosis and cuproptosis for catalytic cancer therapy.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,5.0,,,6.578947368421052,,1064.0,,,,no,no,yes,yes,no,no,2,Skipped: Model failed,,,,,,,,,,,,,,,,,
Cascade Energy Transformation in Hybrid Nanosensitizer Enables Ultrasound-Activated Luminescence Imaging and Enhanced Sonodynamic Therapy..pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,2.0,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Dual-Functional Supernanoparticles with Microwave Dynamic Therapy and Microwave Thermal Therapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,950.0,,8.5,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Metal and Covalent Organic Frameworks Meet OB‐GYN  Advancing Applications in Women s Health and.pdf,nanocrystal,AlN,AlN,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,8.75,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
UiO-66 MOFs-Based “Epi-Nano Sonosensitizer” for Ultrasound-Drive Cascade Immunotherapy against B‑Cell Lymphoma.pdf,nanocrystal,,,nanocrystal,,,,,leukemia,leukemia,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,10.0,11.0,1.0,1.0,350.67857142857144,19.0,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
W Doped TiO2 Nanorods for Multimode Tumor Eradication in Osteosarcoma Models under Single Ultrasound Irradiation.pdf,"nanoparticle, nanorod, nanocrystal",TiO2,TiO2,nanoparticle,,,,,sarcoma,sarcoma,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,97.5,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Reactive Oxygen Species-Manipulated Drug Release from a Smart Envelope-Type Mesoporous Titanium Nanovehicle for Tumor Sonodynamic-Chemotherapy.pdf,"nanoparticle, nanocrystal","TiO2, CdS, CuS",TiO2,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,11.177777777777775,2.0,,1.0,29.0,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Complementing Cancer Photodynamic Therapy with Ferroptosis through Iron Oxide Loaded Porphyrin Grafted Lipid Nanoparticl.pdf,,,,,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,35.166666666666664,,,,14.571428571428571,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Graphene quantum dot formulation for cancer imaging and redox-based drug delivery.pdf,nanocrystal,CuS,CuS,nanocrystal,,,,,cervical_cancer,cervical_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,28.5,,69.0,,,,no,no,yes,yes,no,no,2,Skipped: Model failed,,,,,,,,,,,,,,,,,
Glutathione-depleting nanoplatelets for enhanced sonodynamic cancer therapy.pdf,"nanoparticle, nanosheet, nanocrystal","SiO2, AuS",SiO2,nanoparticle,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,10.0,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Bioorthogonal Guided Activation of cGAS-STING by AIE Photosensitizer Nanoparticles for Targeted Tumor Therapy and Imaging.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,lung_cancer,lung_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,15.0,202305668.0,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
O2-evolving and ROS-activable nanoparticles for treatment of multi-drug resistant Cancer by combination of photodynamic therapy and chemotherapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,5.0,,,,,,,,,,no,no,no,no,no,no,0,Skipped: Model failed,,,,,,,,,,,,,,,,,
Phage-augmented casein nanocarriers for targeted bioimaging and enhanced= combinatorial therapy of triple-negative breast cancer.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,5.0,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
nano-ultrasonic Contrast Agent for Chemoimmunotherapy of Breast Cancer by Immune Metabolism Reprogramming and Tumor Autophagy.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,2.67,2.0,169.25,2.0,8.833333333333334,3.333333333333333,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Nanodrugs mediate TAMs-related arginine metabolism interference to  boost photodynamic immunotherapy.pdf,nanocrystal,,,nanocrystal,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,10.666666666666666,4.0,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Monitoring ROS Responsive Fe3O4-based Nanoparticle Mediated Ferroptosis and Immunotherapy via 129Xe MRI.pdf,"nanoparticle, nanocrystal",Fe3O4,Fe3O4,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,,1.0,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
